track_id,genres,followers,popularity
3P7kgxM0JiC87XToyex76Q,"['american contemporary classical', 'classical', 'compositional ambient', 'contemporary classical', 'minimalism']",579997,60
7tlwALyPpwfce6EWJilPgn,"['american contemporary classical', 'classical', 'compositional ambient', 'contemporary classical', 'minimalism']",579997,60
2asp9d6CmJyTWDx7lUmas6,"['american contemporary classical', 'classical', 'compositional ambient', 'contemporary classical', 'minimalism']",579997,60
2tbTj5WYMfMsap27RKdAXk,"['american contemporary classical', 'classical', 'compositional ambient', 'contemporary classical', 'minimalism']",579997,60
6KvDJt44IrChwCBwqos56L,"['american contemporary classical', 'classical', 'compositional ambient', 'contemporary classical', 'minimalism']",579997,60
6McvV8QnrovqQAXyTt83LO,"['american contemporary classical', 'classical', 'compositional ambient', 'contemporary classical', 'minimalism']",579997,60
5lA87X6SJGMavK3onS0u5d,"['american contemporary classical', 'classical', 'compositional ambient', 'contemporary classical', 'minimalism']",579997,60
18APnag6mkchj7jEOW921Q,"['american contemporary classical', 'classical', 'compositional ambient', 'contemporary classical', 'minimalism']",579997,60
2gTc0Vgo3Lg8erahaCwVjm,"['american contemporary classical', 'classical', 'compositional ambient', 'contemporary classical', 'minimalism']",579997,60
4AUjEDqoGjB0T5XyleU1Xu,"['american contemporary classical', 'classical', 'compositional ambient', 'contemporary classical', 'minimalism']",579997,60
4Oa2RGjojNwGpswrykHaAM,"['american contemporary classical', 'classical', 'compositional ambient', 'contemporary classical', 'minimalism']",579997,60
55zLvuujvivrSFRQyWkgQK,"['american contemporary classical', 'classical', 'compositional ambient', 'contemporary classical', 'minimalism']",579997,60
2ZLxU8hese8L2l3slQit8u,"['american contemporary classical', 'classical', 'compositional ambient', 'contemporary classical', 'minimalism']",579997,60
3FlJC8dYQIEeDYwLiIhqoR,"['american contemporary classical', 'classical', 'compositional ambient', 'contemporary classical', 'minimalism']",579997,60
6pSoGWSF1pF7wscSzRGba3,"['american contemporary classical', 'classical', 'compositional ambient', 'contemporary classical', 'minimalism']",579997,60
4XdzPrd5c4Gj9Hc4eZLhnS,"['american contemporary classical', 'classical', 'compositional ambient', 'contemporary classical', 'minimalism']",579997,60
3OtOBW7uPd9GlqqLrM30K6,"['american contemporary classical', 'classical', 'compositional ambient', 'contemporary classical', 'minimalism']",579997,60
4TSWKaAikYcyChwVegp8no,[],561,32
4zicpvAsp4zFqWce5qkJWM,"['american contemporary classical', 'classical', 'compositional ambient', 'contemporary classical', 'minimalism']",579997,60
5IZa0EqBWuaNFjw2abchTr,"['american contemporary classical', 'classical', 'compositional ambient', 'contemporary classical', 'minimalism']",579997,60
0pwzhEP9LWccpnJmfxeKYS,"['american contemporary classical', 'classical', 'compositional ambient', 'contemporary classical', 'minimalism']",579997,60
64ZxBE1ZgK4C0lGljXzDcG,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
5GnRdw3oNKF8Mz6gdEcQLK,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
7HB1REjjalFLSXgXlAAwFs,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
4ZP3UMVksKg07IeeAjHkEy,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
4wgS4pen0Kej9PafGhUhMJ,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
6DimgukTnjDrTxaQ0NnZvM,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
79D8Unn36v7C0GkMrpOXOF,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
37avtC3pPHLtaRpUNYcl4t,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
5f0B0DJ2RPdp0bDfOTRxgU,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
7fKHeJdwHroMIGBwtnuLDg,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
4ATrXpJdnYW2eOeeYdXMVG,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
5Txwlv081K39njx353jh7r,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
6zOijs9wmanFgqIBqz2IKQ,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
4gmhjAsvL6c7se2PBh7dHw,"['compositional ambient', 'post-minimalism']",879287,72
3a7164iFh2bQ19ACpWhDgC,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
0jPvRJCRE8P4MqIx38vHyQ,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
3PijGK87OvRw77YUGRW7OY,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
0qxV4vP9Td33eweWijvCK8,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
5TWP2c4dIxJjej8MHr4OZY,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
6zYMmgMN98HRTlkFTXNb2p,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
4fSgcWZqWY4y7iiRUQBhp1,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
3IBo6REkZpvZsUTYZbd9Or,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
1a16xRnwulLs4VuaeOQejg,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
5IK3ZZzWhHxx715qGbnLkd,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
5gZ9wFqlg8lZIcLYRjuTiK,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
0U46FEFsSlOO0RJzfSXVpm,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
76d6R3Arx2LCszSyXALNeW,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
6u11Hdd1ZUpFKeT084dF2U,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
5bk3tZuNVfH6kdfMSuuvbE,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
3DPMLNS1sTGikj4I0su7rP,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
5YcJofCVD4Umqiqp2KiNDF,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
4pYCd97GgGccI8o90t8Wbv,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
28bl4jzGKXm5BUaEvCm973,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
2AEMImKfQhUelMIpFKCGpl,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
4k8EvQy6SffHBtsRbyzBm4,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
3DnmqUMWbCaXv8qm315ZcM,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
2FDBZsJdZf1xeUsdMlH76j,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
0GqkdKlkJnlBvXskIA5WXu,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
7EXJrZRm1oDPCjCVp0kqcy,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
5VNlUlsA6yZLzDzEctTkst,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
45M0qfEV7MtoMn8eHkSAjF,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
1bzZ07QjPJoXsjdinN8jfj,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
5lTZgMZobfxCHv8X3RnpIB,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
2h012RNvxEE5mqeKUKfIi7,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
