track_id,name,album,artist,release_date,length,popularity_x,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,genres,followers,popularity_y
4302P24v1ljMAzxnL5VO52,"Liszt: Lieder aus Franz Schubert's ""Schwanengesang"", S. 560: No. 7 Ständchen","Schubert / Arr. Liszt: Ständchen, Serenade (After Schubert's 'Schwanengesang' D. 957)",Mariam Batsashvili,2022-08-05,367480,33,0.323,0.993,0.0315,0.935,0.0794,-27.762,0.0397,67.449,3,"['classical', 'late romantic era']",730871,61
5G5SIUNYqHtMX9Rhub0Qcu,"Der Tanz in der Dorfschenke, S. 514 ""Mephisto Waltz No. 1"": Der Tanz in der Dorfschenke, S. 514/R. 181, ""Mephisto Waltz No. 1""","Liszt Complete Piano Music, Vol. 24: Mephisto Waltzes, 2 Elegies & Grosso Konzertsolo",Franz Liszt,2007-04-29,723280,31,0.341,0.987,0.12,0.84,0.0627,-20.315,0.0441,71.062,3,"['classical', 'late romantic era']",730871,61
1mIiXgLdPNp0d9wccO485S,"Années de pèlerinage: 1e année: Suisse, S.160: 2. Au lac de Wallenstadt",Liszt: Harmonies du Soir,Franz Liszt,2011-01-01,164773,35,0.264,0.985,0.0193,0.909,0.0994,-30.885,0.0357,65.07,3,"['classical', 'late romantic era']",730871,61
3tROciMVjdxYR4boNVLIhB,"Transcendental Études, S.139: XI. Harmonies du soir",Tristan,Igor Levit,2022-09-09,599085,31,0.241,0.991,0.0658,0.911,0.117,-23.455,0.0411,58.665,4,"['classical', 'late romantic era']",730871,61
0jFPa8eFjwhfZAw0TrMQ2g,Romance oubliee,Milhaud: 4 Visages / Enescu: Concert Piece,Nobuko Imai,1997-05-31,289080,32,0.121,0.971,0.0103,0.148,0.204,-32.285,0.0541,75.688,3,"['classical', 'late romantic era']",730871,61
4wKGetA5crT9tZhjqTLTka,"Romance ""O pourquoi donc"" in E Minor, S. 169",Liszt - My Piano Hero,Franz Liszt,2011-08-22,185493,42,0.175,0.99,0.00886,0.883,0.0867,-32.144,0.0457,66.935,4,"['classical', 'late romantic era']",730871,61
2LOQtnSs1l1uSycL81qFGk,"Piano Concerto No. 1 in E-Flat Major, S. 124: IV. Allegro marziale animato","Grieg: Piano Concerto in A Minor, Op. 16 - Liszt: Piano Concerto No. 1 in E-Flat Major",Arthur Rubinstein,1960,246133,30,0.372,0.967,0.277,0.591,0.143,-15.712,0.0338,75.792,4,"['classical', 'late romantic era']",730871,61
7B1ZnEE48TSp4bXSqRoIxx,"Orpheus, S. 98 ""Symphonic Poem No. 4""",Liszt: Les Préludes; Orpheus; Mazeppa; Hungarian Rhapsody No.2,Franz Liszt,1997-01-01,778000,29,0.12,0.972,0.0404,0.796,0.0908,-26.191,0.0414,89.801,1,"['classical', 'late romantic era']",730871,61
6xTH4nf81GgjAJJtPOqdxh,"Paraphrase de concert sur Rigoletto, S. 434: Verdi - Rigoletto: Paraphrase de concert , S. 434/R. 267","Liszt Complete Piano Music, Vol. 25: Verdi Paraphrases & Transcriptions",Franz Liszt,2007-06-26,459293,28,0.331,0.987,0.19,0.873,0.215,-20.311,0.0443,55.981,3,"['classical', 'late romantic era']",730871,61
0Tavxx4mxW9WsYyvY2YScn,"Annees de pelerinage, 2nd year, Italy, S. 161/R. 10b, No. 7. Apres une lecture du Dante: Annees de pelerinage, 2nd year, Italy, S. 161/R. 10b: No. 7, Apres une lecture du Dante (Arr. V. Bresciani for 2 pianos)","Liszt Complete Piano Music, Vol. 26: Dante Symphony & Dante Sonata (Arr. for 2 Pianos)",Franz Liszt,2007-10-30,1019666,27,0.346,0.986,0.163,0.839,0.0653,-21.735,0.0435,62.631,4,"['classical', 'late romantic era']",730871,61
0ixYDyfSMMdvNKhyDhAxyd,"Piano Concerto No. 2 in A Major, S. 125: Allegro deciso -",Liszt: Piano Concertos & Malédiction,Franz Liszt,2016-02-07,172813,25,0.281,0.975,0.316,0.858,0.494,-17.182,0.0369,79.224,4,"['classical', 'late romantic era']",730871,61
1xB9TsyExvGrO4eHO3R0gT,"Wagner - Tannhäuser: Pilgrim's Chorus, S443/R276","Liszt Complete Piano Music, Vol. 36: Transcriptions of Wagner",Franz Liszt,2013-08-06,321240,27,0.392,0.992,0.0359,0.852,0.0957,-21.75,0.0512,94.592,4,"['classical', 'late romantic era']",730871,61
