track_id,name,album,artist,release_date,length,popularity_x,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,genres,followers,popularity_y
0AH6WMe3OlAlUb5miXt2FQ,Only Girl (In The World),Loud,Rihanna,2010-11-16,235493,75,0.789,0.129,0.716,1.07e-05,0.069,-4.241,0.0432,125.906,4,"['barbadian pop', 'pop', 'urban contemporary']",55519329,90
1NrJYpdAi7uosDRPmSYrsG,Apologize,Dreaming Out Loud,OneRepublic,2007-01-01,208106,71,0.593,0.363,0.74,2.22e-05,0.102,-6.12,0.0339,118.008,4,"['piano rock', 'pop']",15654989,83
47Slg6LuqLaX0VodpSCvPt,Just the Way You Are,Doo-Wops & Hooligans,Bruno Mars,2010-10-05,220734,81,0.635,0.0134,0.841,0.0,0.0622,-5.379,0.0422,109.021,4,"['dance pop', 'pop']",48489803,87
6YUTL4dYpB9xZO5qExPf05,Summer,Motion,Calvin Harris,2014-10-31,222533,85,0.596,0.0211,0.856,0.0178,0.141,-3.556,0.0346,127.949,4,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",23417437,86
0kUMtZVaYb7EETkBdrEXXA,Firework,Teenage Dream,Katy Perry,2010-08-24,227893,58,0.638,0.141,0.832,0.0,0.113,-5.039,0.049,124.071,4,['pop'],27286428,84
3AFfyUXTfj12PgrOkZiiJo,Treat You Better,Illuminate,Shawn Mendes,2017-04-20,187973,0,0.748,0.13,0.819,0.0,0.111,-4.032,0.198,110.645,3,"['canadian pop', 'pop', 'viral pop']",41669212,83
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,Memories...Do Not Open,The Chainsmokers,2017-04-07,247160,87,0.617,0.0498,0.635,1.44e-05,0.164,-6.769,0.0317,103.019,4,"['electropop', 'pop']",20185765,80
6tl8Ghkzp7e5xQuwI7AhEH,Diamonds,Unapologetic (Edited Version),Rihanna,2012-12-10,225146,0,0.555,0.00192,0.715,0.0,0.114,-4.821,0.0468,91.951,4,"['barbadian pop', 'pop', 'urban contemporary']",55519329,90
12lZTPlXwUtrQuhEty6098,Raise Your Glass,Raise Your Glass,P!nk,2010-10-06,203333,0,0.7,0.00629,0.695,0.0,0.0319,-4.973,0.0897,122.028,4,"['dance pop', 'pop']",15214935,81
74PyndGWYtfs86n60lAsYW,Everytime We Touch - Radio Edit,Original Me,Cascada,2011-01-01,199120,64,0.64,0.00461,0.977,1.68e-05,0.371,-5.369,0.0555,142.019,4,"['eurodance', 'europop', 'german techno', 'melbourne bounce international']",484482,66
